player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
398073,583,Achraf,Hakimi,Achraf Hakimi,Defender,Right-Back,24.0,70000000,Paris Saint-Germain,ligue-1,23(5),2053.0,1.9,0.6,1,-,0.5,1.0,0.1,-,6.94
616341,583,Nuno,Mendes,Nuno Mendes,Defender,Left-Back,20.0,60000000,Paris Saint-Germain,ligue-1,18(5),1554.0,2.0,0.7,1.1,0.1,0.7,0.5,0.1,-,7.04
282041,583,Presnel,Kimpembe,Presnel Kimpembe,Defender,Centre-Back,27.0,40000000,Paris Saint-Germain,ligue-1,9(2),731.0,1.5,1.2,2,0.2,0.8,0.4,0.6,-,6.61
463603,631,Benoît,Badiashile,Benoît Badiashile,Defender,Centre-Back,21.0,40000000,Chelsea FC,premier-league,9(2),839.0,0.9,1.5,0.9,0.3,3.5,0.5,0.5,-,6.86
386047,162,Axel,Disasi,Axel Disasi,Defender,Centre-Back,24.0,25000000,AS Monaco,ligue-1,37(1),3330.0,0.8,1.5,0.8,0.4,2.9,0.4,0.8,-,6.83
292808,1003,Wout,Faes,Wout Faes,Defender,Centre-Back,24.0,20000000,Leicester City,premier-league,3,270.0,0.3,2.3,0.7,-,6.3,0.3,1,1,6.37
618472,1041,Castello,Lukeba,Castello Lukeba,Defender,Centre-Back,20.0,20000000,Olympique Lyon,ligue-1,33(1),2986.0,1.1,2.2,1.1,0.8,3,0.3,0.7,1,6.73
348026,583,Nordi,Mukiele,Nordi Mukiele,Defender,Right-Back,25.0,20000000,Paris Saint-Germain,ligue-1,12(7),1133.0,1.6,0.7,0.8,0.1,0.8,0.5,0.5,-,6.76
368891,273,Arthur,Theate,Arthur Theate,Defender,Centre-Back,22.0,20000000,Stade Rennais FC,ligue-1,35,3129.0,0.8,0.9,0.7,0.8,3.2,0.4,0.4,1,6.71
605184,417,Jean-Clair,Todibo,Jean-Clair Todibo,Defender,Centre-Back,23.0,20000000,OGC Nice,ligue-1,33(1),2873.0,2.2,1.2,0.6,0.5,3.1,0.4,0.6,-,6.79
535955,244,Nuno,Tavares,Nuno Tavares,Defender,Left-Back,22.0,18000000,Olympique Marseille,ligue-1,23(8),2349.0,1.8,0.5,1.2,0.1,0.7,0.9,0.1,-,6.86
203348,244,Chancel,Mbemba,Chancel Mbemba,Defender,Centre-Back,28.0,17000000,Olympique Marseille,ligue-1,32(4),2850.0,1.2,1.2,0.5,0.1,2.4,0.3,0.3,-,6.82
620322,1041,Malo,Gusto,Malo Gusto,Defender,Right-Back,19.0,15000000,Olympique Lyon,ligue-1,19(2),1602.0,2,1.3,1,0.2,0.7,1,0.2,1,6.86
474800,826,Facundo,Medina,Facundo Medina,Defender,Centre-Back,23.0,15000000,RC Lens,ligue-1,32,2784.0,1,0.8,1.1,0.2,1.8,0.7,0.3,-,6.8
175639,244,Jonathan,Clauss,Jonathan Clauss,Defender,Right-Back,30.0,15000000,Olympique Marseille,ligue-1,32(2),2604.0,1.4,0.9,0.7,0.1,1.1,0.9,0.1,-,6.95
654539,273,Adrien,Truffert,Adrien Truffert,Defender,Left-Back,21.0,15000000,Stade Rennais FC,ligue-1,24(4),1962.0,2.2,0.8,0.7,0.2,1.6,0.5,0.3,-,6.83
263236,826,Kevin,Danso,Kevin Danso,Defender,Centre-Back,24.0,14000000,RC Lens,ligue-1,37,3234.0,1.0,0.9,1.1,0.7,3.3,0.3,0.9,-,6.94
238266,180,Duje,Caleta-Car,Duje Caleta-Car,Defender,Centre-Back,26.0,14000000,Southampton FC,premier-league,0(1),7.0,-,-,-,-,1,-,-,-,6.14
416108,417,Youcef,Atal,Youcef Atal,Defender,Right-Back,26.0,14000000,OGC Nice,ligue-1,8(10),777.0,2.1,0.8,0.5,-,0.7,0.5,-,-,6.76
483348,273,Djed,Spence,Djed Spence,Defender,Right-Back,22.0,13000000,Stade Rennais FC,ligue-1,7(1),575.0,1.8,0.5,0.9,0.1,1.4,0.9,0.4,-,6.82
249730,162,Guillermo,Maripán,Guillermo Maripán,Defender,Centre-Back,28.0,13000000,AS Monaco,ligue-1,25(1),2160.0,1.8,1.5,1,0.4,3.2,0.6,1,1,6.76
126719,583,Juan,Bernat,Juan Bernat,Defender,Left-Back,29.0,12000000,Paris Saint-Germain,ligue-1,18(10),1648.0,1.1,0.3,0.3,0.1,0.7,0.6,0.1,-,6.61
420465,1082,Tiago,Djaló,Tiago Djaló,Defender,Centre-Back,22.0,12000000,LOSC Lille,ligue-1,24(1),2022.0,1.2,0.9,0.8,0.4,2.1,0.3,0.4,1,6.69
575998,244,Leonardo,Balerdi,Leonardo Balerdi,Defender,Centre-Back,23.0,10000000,Olympique Marseille,ligue-1,30(5),2643.0,1.6,1.8,1.5,0.2,2.5,0.4,0.8,1,6.73
493702,417,Mattia,Viti,Mattia Viti,Defender,Centre-Back,20.0,10000000,OGC Nice,ligue-1,7(2),634.0,0.4,0.9,0.3,0.3,2.3,0.3,0.3,-,6.43
730581,368,Loïc,Badé,Loïc Badé,Defender,Centre-Back,22.0,10000000,Sevilla FC,laliga,1,90.0,1,1.0,3,-,3.0,-,-,-,6.57
276896,244,Samuel,Gigot,Samuel Gigot,Defender,Centre-Back,29.0,10000000,Olympique Marseille,ligue-1,24(2),1889.0,1.8,1.7,1.7,0.2,3.1,0.1,0.3,-,6.83
203746,162,Ruben,Aguilar,Ruben Aguilar,Defender,Right-Back,29.0,10000000,AS Monaco,ligue-1,14(6),1176.0,1,0.9,0.8,-,1.3,0.7,0.1,-,6.34
297070,273,Hamari,Traoré,Hamari Traoré,Defender,Right-Back,30.0,10000000,Stade Rennais FC,ligue-1,28(3),2531.0,1.5,1.2,1.1,0.2,1.9,0.8,0.2,-,6.82
131225,1041,Nicolás,Tagliafico,Nicolás Tagliafico,Defender,Left-Back,30.0,9000000,Olympique Lyon,ligue-1,34,2995.0,2.7,1.7,1.2,0.1,1.3,0.8,0.3,-,6.86
297212,273,Joe,Rodon,Joe Rodon,Defender,Centre-Back,25.0,9000000,Stade Rennais FC,ligue-1,16,1418.0,0.7,0.6,0.7,0.7,3.4,0.4,0.8,-,6.65
711996,273,Warmed,Omari,Warmed Omari,Defender,Centre-Back,22.0,8000000,Stade Rennais FC,ligue-1,15(1),1363.0,1.3,1.1,0.5,1.1,2.7,0.9,0.4,-,6.72
286384,244,Eric,Bailly,Eric Bailly,Defender,Centre-Back,28.0,8000000,Olympique Marseille,ligue-1,5(12),539.0,0.8,0.7,0.6,-,1.1,-,0.7,-,6.37
532775,417,Melvin,Bard,Melvin Bard,Defender,Left-Back,22.0,8000000,OGC Nice,ligue-1,28(5),2460.0,2.9,1.9,0.9,0.2,1.0,0.9,0.1,-,6.75
344596,162,Malang,Sarr,Malang Sarr,Defender,Centre-Back,23.0,8000000,AS Monaco,ligue-1,8(5),713.0,0.5,1.2,0.8,0.4,2.2,0.3,0.5,-,6.32
322655,380,Flavius,Daniliuc,Flavius Daniliuc,Defender,Centre-Back,21.0,8000000,US Salernitana 1919,serie-a,1(1),91.0,1,-,1,-,0.5,-,0.5,-,6.15
250844,667,Alexander,Djiku,Alexander Djiku,Defender,Centre-Back,28.0,8000000,RC Strasbourg Alsace,ligue-1,31,2681.0,1.7,2.1,1.3,0.4,4.8,0.6,0.6,-,6.92
557613,995,Quentin,Merlin,Quentin Merlin,Defender,Left-Back,20.0,7000000,FC Nantes,ligue-1,22(2),1803.0,1.3,1.0,0.5,0.1,1,0.8,0.2,-,6.73
375137,162,Ismail,Jakobs,Ismail Jakobs,Defender,Left-Back,23.0,7000000,AS Monaco,ligue-1,9(23),1102.0,0.3,0.3,0.4,0.1,0.5,0.2,-,-,6.27
674612,417,Youssouf,Ndayishimiye,Youssouf Ndayishimiye,Defender,Centre-Back,24.0,7000000,OGC Nice,ligue-1,6(4),566.0,1.3,1.2,0.5,0.2,2.0,0.5,0.5,-,6.68
395083,416,Andreaw,Gravillon,Andreaw Gravillon,Defender,Centre-Back,24.0,7000000,Torino FC,serie-a,12(1),1040.0,1.2,1.6,1.4,0.3,2.5,0.4,0.7,-,6.56
378953,667,Gerzino,Nyamsi,Gerzino Nyamsi,Defender,Centre-Back,25.0,6500000,RC Strasbourg Alsace,ligue-1,19(1),1580.0,1.4,0.5,1.9,0.8,2.9,0.1,0.6,-,6.44
572326,273,Christopher,Wooh,Christopher Wooh,Defender,Centre-Back,21.0,6000000,Stade Rennais FC,ligue-1,0(1),3.0,-,-,-,-,-,1,-,-,6.02
25557,583,Sergio,Ramos,Sergio Ramos,Defender,Centre-Back,36.0,6000000,Paris Saint-Germain,ligue-1,31(2),2709.0,1,1,1.1,0.5,2.8,0.6,0.4,-,6.82
690799,415,Anthony,Rouault,Anthony Rouault,Defender,Centre-Back,21.0,6000000,FC Toulouse,ligue-1,37,3316.0,1.8,1.5,0.6,0.5,3.4,0.8,0.7,1,6.65
313094,417,Jordan,Lotomba,Jordan Lotomba,Defender,Right-Back,24.0,6000000,OGC Nice,ligue-1,27(6),2456.0,2,1,0.7,0.2,1.4,0.5,0.3,-,6.82
282250,273,Birger,Meling,Birger Meling,Defender,Left-Back,28.0,6000000,Stade Rennais FC,ligue-1,10(17),1200.0,0.9,0.9,0.7,0.2,0.8,0.5,0.1,-,6.37
283227,415,Rasmus,Nicolaisen,Rasmus Nicolaisen,Defender,Centre-Back,25.0,5000000,FC Toulouse,ligue-1,34,2997.0,1.4,1.5,0.9,0.3,4.4,0.5,1.3,1,6.94
354352,667,Frédéric,Guilbert,Frédéric Guilbert,Defender,Right-Back,28.0,5000000,RC Strasbourg Alsace,ligue-1,17(1),1465.0,2.6,2.4,1.6,0.3,1.7,1.0,0.2,-,6.84
362108,1082,Gabriel,Gudmundsson,Gabriel Gudmundsson,Defender,Left-Back,23.0,5000000,LOSC Lille,ligue-1,9(9),832.0,1.1,0.6,0.9,0.1,0.9,0.6,0.1,-,6.53
485965,82,Nicolas,Cozza,Nicolas Cozza,Defender,Left-Back,23.0,5000000,VfL Wolfsburg,bundesliga,14(3),1275.0,2.2,1.2,0.5,0.2,2.0,0.7,0.3,-,6.54
384859,995,Fabien,Centonze,Fabien Centonze,Defender,Right-Back,26.0,5000000,FC Nantes,ligue-1,19(4),1693.0,2.5,1.9,0.6,0.1,2.3,0.5,0.3,-,7.06
708678,290,Isaak,Touré,Isaak Touré,Defender,Centre-Back,19.0,5000000,AJ Auxerre,ligue-1,0(5),66.0,0.4,-,0.4,-,1,0.2,-,-,6.02
649452,244,Issa,Kaboré,Issa Kaboré,Defender,Right-Back,21.0,5000000,Olympique Marseille,ligue-1,9(13),1022.0,1.5,0.5,1.1,0.1,0.9,0.5,-,-,6.57
702441,1041,Sinaly,Diomandé,Sinaly Diomandé,Defender,Centre-Back,21.0,5000000,Olympique Lyon,ligue-1,22(2),1959.0,1.8,2.0,1.0,0.5,2.9,0.8,0.5,-,6.75
250779,3911,Brendan,Chardonnet,Brendan Chardonnet,Defender,Centre-Back,28.0,5000000,Stade Brestois 29,ligue-1,27(3),2489.0,1.5,2.1,1.3,0.3,2.8,0.6,0.6,1,6.79
538998,583,Timothée,Pembélé,Timothée Pembélé,Defender,Right-Back,20.0,5000000,Paris Saint-Germain,ligue-1,4(1),265.0,1.0,0.8,-,0.2,0.4,0.4,-,-,6.33
460629,667,Colin,Dagba,Colin Dagba,Defender,Right-Back,24.0,5000000,RC Strasbourg Alsace,ligue-1,12(9),960.0,1.5,0.8,0.7,0.2,0.8,0.3,0.1,-,6.44
357072,969,Faitout,Maouassa,Faitout Maouassa,Defender,Left-Back,24.0,5000000,Montpellier HSC,ligue-1,23(10),1935.0,1.6,0.6,1.0,-,0.5,0.7,0.1,-,6.75
410185,714,Ronaël,Pierre-Gabriel,Ronaël Pierre-Gabriel,Defender,Right-Back,24.0,4500000,RCD Espanyol Barcelona,laliga,7(7),653.0,1.8,0.6,0.9,0.1,1.5,0.1,0.2,-,6.5
126557,826,Jonathan,Gradit,Jonathan Gradit,Defender,Centre-Back,30.0,4500000,RC Lens,ligue-1,33,2830.0,1.9,1.2,0.9,0.3,2.5,0.7,0.8,-,6.95
215114,1421,Thomas,Foket,Thomas Foket,Defender,Right-Back,28.0,4500000,Stade Reims,ligue-1,23(1),1983.0,1.5,1.4,1.1,0.3,0.9,1.2,0.3,-,6.61
463605,1082,Bafodé,Diakité,Bafodé Diakité,Defender,Right-Back,21.0,4500000,LOSC Lille,ligue-1,29(4),2656.0,1.6,0.5,1.4,0.2,1.6,0.8,0.2,1,6.66
798404,3524,Alidu,Seidu,Alidu Seidu,Defender,Centre-Back,22.0,4500000,Clermont Foot 63,ligue-1,28,2463.0,1.9,1.9,1.2,0.1,1.7,0.7,0.5,-,6.75
364857,969,Falaye,Sacko,Falaye Sacko,Defender,Right-Back,27.0,4000000,Montpellier HSC,ligue-1,29(6),2580.0,1.3,0.9,0.7,0.2,1.9,0.5,0.4,1,6.52
270051,995,Andrei,Girotto,Andrei Girotto,Defender,Centre-Back,30.0,4000000,FC Nantes,ligue-1,36,3153.0,3.4,2,1.5,0.3,4.8,1.6,0.7,-,7.09
569383,162,Chrislain,Matsima,Chrislain Matsima,Defender,Centre-Back,20.0,4000000,AS Monaco,ligue-1,2(4),223.0,-,0.3,-,0.2,1.2,-,0.5,-,6.13
344864,3911,Jean-Kévin,Duverne,Jean-Kévin Duverne,Defender,Left-Back,25.0,4000000,Stade Brestois 29,ligue-1,27(7),2514.0,2.1,0.8,1.1,0.1,1.7,0.9,0.1,-,6.54
709482,1095,Thierno,Baldé,Thierno Baldé,Defender,Right-Back,20.0,4000000,ESTAC Troyes,ligue-1,25(6),2161.0,0.9,0.7,0.3,0.2,1.2,0.4,0.1,-,6.38
182875,995,Jean-Charles,Castelletto,Jean-Charles Castelletto,Defender,Centre-Back,27.0,4000000,FC Nantes,ligue-1,30(2),2569.0,1.3,1.8,0.9,0.2,2.7,0.4,0.7,-,6.69
496706,1158,Montassar,Talbi,Montassar Talbi,Defender,Centre-Back,24.0,4000000,FC Lorient,ligue-1,38,3420.0,1.4,1.1,0.4,0.4,4.8,0.3,0.9,-,6.79
842341,969,Maxime,Estève,Maxime Estève,Defender,Centre-Back,20.0,4000000,Montpellier HSC,ligue-1,18(5),1645.0,1.0,1.5,0.8,0.5,3.7,0.2,0.7,1,6.53
395685,1158,Gédéon,Kalulu,Gédéon Kalulu,Defender,Right-Back,25.0,4000000,FC Lorient,ligue-1,28(1),2442.0,2.2,1,1,0.2,2.4,0.6,0.1,-,6.69
711969,273,Lorenz,Assignon,Lorenz Assignon,Defender,Right-Back,22.0,4000000,Stade Rennais FC,ligue-1,2(10),254.0,0.5,0.2,0.3,0.1,0.7,0.2,-,-,6.2
485960,3911,Lilian,Brassier,Lilian Brassier,Defender,Centre-Back,23.0,4000000,Stade Brestois 29,ligue-1,35(1),3094.0,1.2,1.5,1.2,0.7,3.4,0.3,0.5,-,6.66
37838,1041,Dejan,Lovren,Dejan Lovren,Defender,Centre-Back,33.0,3500000,Olympique Lyon,ligue-1,17,1462.0,1.5,1.5,0.6,0.8,3.8,0.5,0.6,-,6.91
201737,969,Christopher,Jullien,Christopher Jullien,Defender,Centre-Back,29.0,3500000,Montpellier HSC,ligue-1,30,2696.0,1.5,1.4,1.1,0.2,3.7,0.8,0.6,-,6.74
211637,969,Kiki,Kouyaté,Kiki Kouyaté,Defender,Centre-Back,25.0,3500000,Montpellier HSC,ligue-1,15,1259.0,2.1,2.3,1.4,0.2,4.7,1.1,0.9,-,7.1
